gene_symbol,gene_name,entrez_id,chromosome
MOCS3,molybdenum cofactor synthesis 3,27304.0,20
PGDS,hematopoietic prostaglandin D synthase,27306.0,4
ZNF330,zinc finger protein 330,27309.0,4
RAB30,"RAB30, member RAS oncogene family",27314.0,11
BHLHE22,"basic helix-loop-helix family, member e22",27319.0,8
TNRC6A,trinucleotide repeat containing 6A,27327.0,16
PCDH11X,protocadherin 11 X-linked,27328.0,X
ANGPTL3,angiopoietin-like 3,27329.0,1
RPS6KA6,"ribosomal protein S6 kinase, 90kDa, polypeptide 6",27330.0,X
FAM162A,"family with sequence similarity 162, member A",26355.0,3
OR10J8P,"olfactory receptor, family 10, subfamily J, member 1",26476.0,1
OR8B8,"olfactory receptor, family 8, subfamily B, member 8",26493.0,11
OR8G1,"olfactory receptor, family 8, subfamily G, member 1",26494.0,11
PLEK2,pleckstrin 2,26499.0,14
SLC17A5,"solute carrier family 17 (anion/sugar transporter), member 5",26503.0,6
CNNM4,cyclin M4,26504.0,2
CNNM1,cyclin M1,26507.0,10
HEYL,hairy/enhancer-of-split related with YRPW motif-like,26508.0,1
CHIC2,cysteine-rich hydrophobic domain 2,26511.0,4
FXC1,fracture callus 1 homolog (rat),26515.0,11
TIMM13,translocase of inner mitochondrial membrane 13 homolog (yeast),26517.0,19
GOLIM4,golgi integral membrane protein 4,27333.0,3
P2RY10,"purinergic receptor P2Y, G-protein coupled, 10",27334.0,X
EIF3K,"eukaryotic translation initiation factor 3, subunit K",27335.0,19
HTATSF1,HIV-1 Tat specific factor 1,27336.0,X
UBE2S,ubiquitin-conjugating enzyme E2S,27338.0,19
PRPF19,PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae),27339.0,11
UTP20,"UTP20, small subunit (SSU) processome component, homolog (yeast)",27340.0,12
RRP7A,ribosomal RNA processing 7 homolog A (S. cerevisiae),27341.0,22
KCTD7,RAB guanine nucleotide exchange factor (GEF) 1,27342.0,7
POLL,"polymerase (DNA directed), lambda",27343.0,10
PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,27344.0,X
KCNMB4,"potassium large conductance calcium-activated channel, subfamily M, beta member 4",27345.0,12
TMEM97,transmembrane protein 97,27346.0,17
STK39,serine threonine kinase 39,27347.0,2
TOR1B,"torsin family 1, member B (torsin B)",27348.0,9
MCAT,malonyl CoA:ACP acyltransferase (mitochondrial),27349.0,22
APOBEC3C,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C",27350.0,22
SGSM3,small G protein signaling modulator 3,27352.0,22
TOR2A,"torsin family 2, member A",27433.0,9
POLM,"polymerase (DNA directed), mu",27434.0,7
CECR6,"cat eye syndrome chromosome region, candidate 6",27439.0,22
PCLO,piccolo (presynaptic cytomatrix protein),27445.0,7
PPP2R3B,"protein phosphatase 2, regulatory subunit B'', beta",28227.0,X|Y
SLCO4A1,"solute carrier organic anion transporter family, member 4A1",28231.0,20
SLCO3A1,"solute carrier organic anion transporter family, member 3A1",28232.0,15
SLCO1B3,"solute carrier organic anion transporter family, member 1B3",28234.0,12
CDH20,"cadherin 20, type 2",28316.0,18
NKIRAS1,NFKB inhibitor interacting Ras-like 1,28512.0,3
CDH19,"cadherin 19, type 2",28513.0,18
DLL1,delta-like 1 (Drosophila),28514.0,6
TRIB2,tribbles homolog 2 (Drosophila),28951.0,2
CCDC22,coiled-coil domain containing 22,28952.0,X
REM1,RAS (RAD and GEM)-like GTP-binding 1,28954.0,20
DEXI,Dexi homolog (mouse),28955.0,16
ROBLD3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",28956.0,1
MRPS28,mitochondrial ribosomal protein S28,28957.0,8
DCPS,"decapping enzyme, scavenger",28960.0,11
OSTM1,osteopetrosis associated transmembrane protein 1,28962.0,6
SNX24,sorting nexin 24,28966.0,5
SLC6A16,"solute carrier family 6, member 16",28968.0,19
C11orf54,chromosome 11 open reading frame 54,28970.0,11
C11orf67,chromosome 11 open reading frame 67,28971.0,11
SPCS1,signal peptidase complex subunit 1 homolog (S. cerevisiae),28972.0,3
STXBP6,syntaxin binding protein 6 (amisyn),29091.0,14
MRPL22,mitochondrial ribosomal protein L22,29093.0,5
AC008074.2,"lectin, galactoside-binding-like",29094.0,2
ORMDL2,ORM1-like 2 (S. cerevisiae),29095.0,12
CNIH4,cornichon homolog 4 (Drosophila),29097.0,1
RANGRF,RAN guanine nucleotide release factor,29098.0,17
TMEM208,transmembrane protein 208,29100.0,16
SSU72,SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae),29101.0,1
DNAJC15,"DnaJ (Hsp40) homolog, subfamily C, member 15",29103.0,13
N6AMT1,N-6 adenine-specific DNA methyltransferase 1 (putative),29104.0,21
C16orf80,chromosome 16 open reading frame 80,29105.0,16
SCG3,secretogranin III,29106.0,15
NXT1,NTF2-like export factor 1,29107.0,20
PYCARD,PYD and CARD domain containing,29108.0,16
FHOD1,formin homology 2 domain containing 1,29109.0,16
TBK1,TANK-binding kinase 1,29110.0,12
C6orf15,chromosome 6 open reading frame 15,29113.0,6
TAGLN3,transgelin 3,29114.0,3
SAP30BP,SAP30 binding protein,29115.0,17
MYLIP,myosin regulatory light chain interacting protein,29116.0,6
BRD7,bromodomain containing 7,29117.0,16
DDX25,DEAD (Asp-Glu-Ala-Asp) box helicase 25,29118.0,11
TSP50,"protease, serine, 50",29122.0,3
ANKRD11,ankyrin repeat domain 11,29123.0,16
LGALS13,"lectin, galactoside-binding, soluble, 13",29124.0,19
CD274,CD274 molecule,29126.0,9
BLNK,B-cell linker,29760.0,10
USP25,ubiquitin specific peptidase 25,29761.0,21
PACSIN3,protein kinase C and casein kinase substrate in neurons 3,29763.0,11
TMOD4,tropomodulin 4 (muscle),29765.0,1
TMOD3,tropomodulin 3 (ubiquitous),29766.0,15
CARD10,"caspase recruitment domain family, member 10",29775.0,22
ABT1,activator of basal transcription 1,29777.0,6
PARVB,"parvin, beta",29780.0,22
CYP2S1,"cytochrome P450, family 2, subfamily S, polypeptide 1",29785.0,19
UCRC,"ubiquinol-cytochrome c reductase, complex III subunit X",29796.0,22
C2orf27A,chromosome 2 open reading frame 27A,29798.0,2
YPEL1,yippee-like 1 (Drosophila),29799.0,22
ZDHHC1,"zinc finger, DHHC-type containing 1",29800.0,16
ZDHHC8,"zinc finger, DHHC-type containing 8",29801.0,22
VPREB3,pre-B lymphocyte 3,29802.0,22
TFCP2L1,transcription factor CP2-like 1,29842.0,2
SENP1,SUMO1/sentrin specific peptidase 1,29843.0,12
TFPT,TCF3 (E2A) fusion partner (in childhood Leukemia),29844.0,19
TRPM5,"transient receptor potential cation channel, subfamily M, member 5",29850.0,11
ICOS,inducible T-cell co-stimulator,29851.0,2
ANAPC2,anaphase promoting complex subunit 2,29882.0,9
CNOT7,"CCR4-NOT transcription complex, subunit 7",29883.0,8
SNX8,sorting nexin 8,29886.0,7
SNX10,sorting nexin 10,29887.0,7
GNL2,guanine nucleotide binding protein-like 2 (nucleolar),29889.0,1
RBM15B,RNA binding motif protein 15B,29890.0,3
CPSF1,"cleavage and polyadenylation specific factor 1, 160kDa",29894.0,8
MYLPF,"myosin light chain, phosphorylatable, fast skeletal muscle",29895.0,16
TRA2A,transformer 2 alpha homolog (Drosophila),29896.0,7
GPSM2,G-protein signaling modulator 2,29899.0,1
SAC3D1,SAC3 domain containing 1,29901.0,11
C12orf24,"family with sequence similarity 216, member A",29902.0,12
CCDC106,coiled-coil domain containing 106,29903.0,19
EEF2K,eukaryotic elongation factor-2 kinase,29904.0,16
MORC1,MORC family CW-type zinc finger 1,27136.0,3
CIDEB,cell death-inducing DFFA-like effector b,27141.0,14
KIAA1274,KIAA1274,27143.0,10
FILIP1,filamin A interacting protein 1,27145.0,6
STK36,serine/threonine kinase 36,27148.0,2
CPAMD8,"C3 and PZP-like, alpha-2-macroglobulin domain containing 8",27151.0,19
INTU,inturned planar cell polarity effector homolog (Drosophila),27152.0,4
ZNF777,zinc finger protein 777,27153.0,7
RTDR1,rhabdoid tumor deletion region gene 1,27156.0,22
EIF2C2,"eukaryotic translation initiation factor 2C, 2",27161.0,8
ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",29906.0,18
GPR171,G protein-coupled receptor 171,29909.0,3
UBIAD1,UbiA prenyltransferase domain containing 1,29914.0,1
HCFC2,host cell factor C2,29915.0,12
SNX11,sorting nexin 11,29916.0,17
C18orf8,chromosome 18 open reading frame 8,29919.0,18
PYCR2,"pyrroline-5-carboxylate reductase family, member 2",29920.0,1
C7orf68,hypoxia inducible lipid droplet-associated,29923.0,7
EPN1,epsin 1,29924.0,19
GMPPB,GDP-mannose pyrophosphorylase B,29925.0,3
GMPPA,GDP-mannose pyrophosphorylase A,29926.0,2
SEC61A1,Sec61 alpha 1 subunit (S. cerevisiae),29927.0,3
TIMM22,translocase of inner mitochondrial membrane 22 homolog (yeast),29928.0,17
ALG6,"asparagine-linked glycosylation 6, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)",29929.0,1
PCDHB1,protocadherin beta 1,29930.0,5
GPR132,G protein-coupled receptor 132,29933.0,14
SNX12,sorting nexin 12,29934.0,X
RPA4,"replication protein A4, 30kDa",29935.0,X
PKN3,protein kinase N3,29941.0,9
PURG,purine-rich element binding protein G,29942.0,8
PADI1,"peptidyl arginine deiminase, type I",29943.0,1
PNMA3,paraneoplastic Ma antigen 3,29944.0,X
ANAPC4,anaphase promoting complex subunit 4,29945.0,4
SERTAD3,SERTA domain containing 3,29946.0,19
OSGIN1,oxidative stress induced growth inhibitor 1,29948.0,16
SERTAD1,SERTA domain containing 1,29950.0,19
PDZRN4,PDZ domain containing ring finger 4,29951.0,12
DPP7,dipeptidyl-peptidase 7,29952.0,9
TRHDE,thyrotropin-releasing hormone degrading enzyme,29953.0,12
POMT2,protein-O-mannosyltransferase 2,29954.0,14
SLC25A24,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24",29957.0,1
DMGDH,dimethylglycine dehydrogenase,29958.0,5
NRBP1,nuclear receptor binding protein 1,29959.0,2
FTSJ2,FtsJ RNA methyltransferase homolog 2 (E. coli),29960.0,7
PRICKLE4,prickle homolog 4 (Drosophila),29964.0,6
C16orf5,chromosome 16 open reading frame 5,29965.0,16
MDFIC,MyoD family inhibitor domain containing,29969.0,7
IQCJ-SCHIP1,schwannomin interacting protein 1,29970.0,3
UBQLN2,ubiquilin 2,29978.0,X
DONSON,downstream neighbor of SON,29980.0,21
NRBF2,nuclear receptor binding factor 2,29982.0,10
RHOD,ras homolog family member D,29984.0,11
SLC39A3,"solute carrier family 39 (zinc transporter), member 3",29985.0,19
SLC39A2,"solute carrier family 39 (zinc transporter), member 2",29986.0,14
SLC2A8,"solute carrier family 2 (facilitated glucose transporter), member 8",29988.0,9
OBP2B,odorant binding protein 2B,29989.0,9
PILRB,paired immunoglobin-like type 2 receptor beta,29990.0,7
OBP2A,odorant binding protein 2A,29991.0,9
NMD3,NMD3 homolog (S. cerevisiae),51068.0,3
MRPL2,mitochondrial ribosomal protein L2,51069.0,6
NOSIP,nitric oxide synthase interacting protein,51070.0,19
DERA,deoxyribose-phosphate aldolase (putative),51071.0,12
MEMO1,mediator of cell motility 1,51072.0,2
APIP,APAF1 interacting protein,51074.0,11
CUTC,cutC copper transporter homolog (E. coli),51076.0,10
FCF1,FCF1 small subunit (SSU) processome component homolog (S. cerevisiae),51077.0,14
THAP4,THAP domain containing 4,51078.0,2
NDUFA13,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13",51079.0,19
MRPS7,mitochondrial ribosomal protein S7,51081.0,17
POLR1D,"polymerase (RNA) I polypeptide D, 16kDa",51082.0,13
GAL,galanin prepropeptide,51083.0,11
CRYL1,"crystallin, lambda 1",51084.0,13
TNNI3K,TNNI3 interacting kinase,51086.0,1
YBX2,Y box binding protein 2,51087.0,17
PLLP,plasmolipin,51090.0,16
UTP18,UTP18 small subunit (SSU) processome component homolog (yeast),51096.0,17
SCCPDH,saccharopine dehydrogenase (putative),51097.0,1
IFT52,intraflagellar transport 52 homolog (Chlamydomonas),51098.0,20
ABHD5,abhydrolase domain containing 5,51099.0,3
SH3GLB1,SH3-domain GRB2-like endophilin B1,51100.0,1
ZC2HC1A,"zinc finger, C2HC-type containing 1A",51101.0,8
NDUFAF1,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 1",51103.0,15
FAM108B1,"family with sequence similarity 108, member B1",51104.0,9
PHF20L1,PHD finger protein 20-like 1,51105.0,8
TFB1M,"transcription factor B1, mitochondrial",51106.0,6
RDH11,retinol dehydrogenase 11 (all-trans/9-cis/11-cis),51109.0,14
LACTB2,"lactamase, beta 2",51110.0,8
SUV420H1,suppressor of variegation 4-20 homolog 1 (Drosophila),51111.0,11
TTC15,trafficking protein particle complex 12,51112.0,2
FAM82B,"family with sequence similarity 82, member B",51115.0,8
MRPS2,mitochondrial ribosomal protein S2,51116.0,9
COQ4,coenzyme Q4 homolog (S. cerevisiae),51117.0,9
UTP11L,"UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)",51118.0,1
SBDS,Shwachman-Bodian-Diamond syndrome,51119.0,7
RPL26L1,ribosomal protein L26-like 1,51121.0,5
COMMD2,COMM domain containing 2,51122.0,3
IER3IP1,immediate early response 3 interacting protein 1,51124.0,18
GOLGA7,golgin A7,51125.0,8
NAT5,"N(alpha)-acetyltransferase 20, NatB catalytic subunit",51126.0,20
SAR1B,SAR1 homolog B (S. cerevisiae),51128.0,5
KCTD3,potassium channel tetramerisation domain containing 3,51133.0,1
RNFT1,"ring finger protein, transmembrane 1",51136.0,17
COPS4,COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis),51138.0,4
INSIG2,insulin induced gene 2,51141.0,2
CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2,51142.0,7
DYNC1LI1,"dynein, cytoplasmic 1, light intermediate chain 1",51143.0,3
HSD17B12,hydroxysteroid (17-beta) dehydrogenase 12,51144.0,11
A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",51146.0,3
MRPS18B,mitochondrial ribosomal protein S18B,28973.0,6
C19orf53,chromosome 19 open reading frame 53,28974.0,19
ACAD9,"acyl-CoA dehydrogenase family, member 9",28976.0,3
TMEM14A,transmembrane protein 14A,28978.0,6
FLVCR1,feline leukemia virus subgroup C cellular receptor 1,28982.0,1
TMPRSS11E2,"transmembrane protease, serine 11E",28983.0,4
C13orf15,regulator of cell cycle,28984.0,13
MAGEH1,"melanoma antigen family H, 1",28986.0,X
NOB1,NIN1/RPN12 binding protein 1 homolog (S. cerevisiae),28987.0,16
NTMT1,N-terminal Xaa-Pro-Lys N-methyltransferase 1,28989.0,9
ASTE1,asteroid homolog 1 (Drosophila),28990.0,3
COMMD5,COMM domain containing 5,28991.0,8
MACROD1,MACRO domain containing 1,28992.0,11
HIPK2,homeodomain interacting protein kinase 2,28996.0,7
MRPL13,mitochondrial ribosomal protein L13,28998.0,8
KLF15,Kruppel-like factor 15,28999.0,3
SLC43A3,"solute carrier family 43, member 3",29015.0,11
ATAD2,"ATPase family, AAA domain containing 2",29028.0,8
C16orf72,chromosome 16 open reading frame 72,29035.0,16
FAM156A,"family with sequence similarity 156, member A",29057.0,X
C20orf30,transmembrane protein 230,29058.0,20
WDR91,WD repeat domain 91,29062.0,7
ZC3H7A,zinc finger CCCH-type containing 7A,29066.0,16
ZBTB44,zinc finger and BTB domain containing 44,29068.0,11
C1GALT1C1,C1GALT1-specific chaperone 1,29071.0,X
MRPL18,mitochondrial ribosomal protein L18,29074.0,6
NDUFAF4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 4",29078.0,6
MED4,mediator complex subunit 4,29079.0,13
CCDC59,coiled-coil domain containing 59,29080.0,12
METTL5,methyltransferase like 5,29081.0,2
CHMP4A,charged multivesicular body protein 4A,29082.0,14
GTPBP8,GTP-binding protein 8 (putative),29083.0,3
PHPT1,phosphohistidine phosphatase 1,29085.0,9
THYN1,thymocyte nuclear protein 1,29087.0,11
MRPL15,mitochondrial ribosomal protein L15,29088.0,8
UBE2T,ubiquitin-conjugating enzyme E2T (putative),29089.0,1
C18orf55,translocase of inner mitochondrial membrane 21 homolog (yeast),29090.0,18
CERCAM,cerebral endothelial cell adhesion molecule,51148.0,9
SLC45A2,"solute carrier family 45, member 2",51151.0,5
MRTO4,mRNA turnover 4 homolog (S. cerevisiae),51154.0,1
ZNF580,zinc finger protein 580,51157.0,19
C3orf18,chromosome 3 open reading frame 18,51161.0,3
DBR1,debranching enzyme homolog 1 (S. cerevisiae),51163.0,3
AADAT,aminoadipate aminotransferase,51166.0,4
CYB5R4,cytochrome b5 reductase 4,51167.0,6
MYO15A,myosin XVA,51168.0,17
HSD17B11,hydroxysteroid (17-beta) dehydrogenase 11,51170.0,4
HSD17B14,hydroxysteroid (17-beta) dehydrogenase 14,51171.0,19
NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,51172.0,16
TUBD1,"tubulin, delta 1",51174.0,17
TUBE1,"tubulin, epsilon 1",51175.0,6
PLEKHO1,"pleckstrin homology domain containing, family O member 1",51177.0,1
DCXR,dicarbonyl/L-xylulose reductase,51181.0,17
HSPA14,heat shock 70kDa protein 14,51182.0,10
GPN3,GPN-loop GTPase 3,51184.0,12
CRBN,cereblon,51185.0,3
RSL24D1,ribosomal L24 domain containing 1,51187.0,15
SS18L2,synovial sarcoma translocation gene on chromosome 18-like 2,51188.0,3
HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5,51191.0,4
ZNF639,zinc finger protein 639,51193.0,3
RAPGEFL1,Rap guanine nucleotide exchange factor (GEF)-like 1,51195.0,17
PLCE1,"phospholipase C, epsilon 1",51196.0,10
NIN,ninein (GSK3B interacting protein),51199.0,14
CPA4,carboxypeptidase A4,51200.0,7
ZDHHC2,"zinc finger, DHHC-type containing 2",51201.0,8
NUSAP1,nucleolar and spindle associated protein 1,51203.0,15
TACO1,translational activator of mitochondrially encoded cytochrome c oxidase I,51204.0,17
ACP6,"acid phosphatase 6, lysophosphatidic",51205.0,1
DUSP13,dual specificity phosphatase 13,51207.0,10
CLDN18,claudin 18,51208.0,3
RAB9B,"RAB9B, member RAS oncogene family",51209.0,X
LUZP4,leucine zipper protein 4,51213.0,X
IGF2AS,IGF2 antisense RNA (non-protein coding),51214.0,11
GLRX5,glutaredoxin 5,51218.0,14
TCEB3B,transcription elongation factor B polypeptide 3B (elongin A2),51224.0,18
ABI3,"ABI family, member 3",51225.0,17
COPZ2,"coatomer protein complex, subunit zeta 2",51226.0,17
GLTP,glycolipid transfer protein,51228.0,12
PHF20,PHD finger protein 20,51230.0,20
CRIM1,cysteine rich transmembrane BMP regulator 1 (chordin-like),51232.0,2
FAM178B,"family with sequence similarity 178, member B",51252.0,2
MRPL37,mitochondrial ribosomal protein L37,51253.0,1
RNF181,ring finger protein 181,51255.0,2
MRPL51,mitochondrial ribosomal protein L51,51258.0,12
TMEM216,transmembrane protein 216,51259.0,11
CXorf26,chromosome X open reading frame 26,51260.0,X
MRPL27,mitochondrial ribosomal protein L27,51264.0,17
CLEC1A,"C-type lectin domain family 1, member A",51267.0,12
PIPOX,pipecolic acid oxidase,51268.0,17
TFDP3,"transcription factor Dp family, member 3",51270.0,X
UBAP1,ubiquitin associated protein 1,51271.0,9
KLF3,Kruppel-like factor 3 (basic),51274.0,4
ZNF571,zinc finger protein 571,51276.0,19
DNAJC27,"DnaJ (Hsp40) homolog, subfamily C, member 27",51277.0,2
IER5,immediate early response 5,51278.0,1
C1RL,"complement component 1, r subcomponent-like",51279.0,12
BFAR,bifunctional apoptosis regulator,51283.0,16
TLR7,toll-like receptor 7,51284.0,X
RASL12,"RAS-like, family 12",51285.0,15
CEND1,cell cycle exit and neuronal differentiation 1,51286.0,11
CHCHD8,coiled-coil-helix-coiled-coil-helix domain containing 8,51287.0,11
RXFP3,relaxin/insulin-like family peptide receptor 3,51289.0,5
ERGIC2,ERGIC and golgi 2,51290.0,12
GMIP,GEM interacting protein,51291.0,19
CD320,CD320 molecule,51293.0,19
PCDH12,protocadherin 12,51294.0,5
PLUNC,"BPI fold containing family A, member 1",51297.0,20
NRN1,neuritin 1,51299.0,6
TIMMDC1,translocase of inner mitochondrial membrane domain containing 1,51300.0,3
GCNT4,"glucosaminyl (N-acetyl) transferase 4, core 2",51301.0,5
CYP39A1,"cytochrome P450, family 39, subfamily A, polypeptide 1",51302.0,6
KCNK9,"potassium channel, subfamily K, member 9",51305.0,8
REEP2,receptor accessory protein 2,51308.0,5
ARMCX1,"armadillo repeat containing, X-linked 1",51309.0,X
SLC22A17,"solute carrier family 22, member 17",51310.0,14
SLC25A37,"solute carrier family 25 (mitochondrial iron transporter), member 37",51312.0,8
TXNDC3,NME/NM23 family member 8,51314.0,7
KRCC1,lysine-rich coiled-coil 1,51315.0,2
PHF21A,PHD finger protein 21A,51317.0,11
RSRC1,arginine/serine-rich coiled-coil 1,51319.0,3
MEX3C,mex-3 homolog C (C. elegans),51320.0,18
SPG21,"spastic paraplegia 21 (autosomal recessive, Mast syndrome)",51324.0,15
ERAF,alpha hemoglobin stabilizing protein,51327.0,16
ARL6IP4,ADP-ribosylation-like factor 6 interacting protein 4,51329.0,12
TNFRSF12A,"tumor necrosis factor receptor superfamily, member 12A",51330.0,16
SPTBN5,"spectrin, beta, non-erythrocytic 5",51332.0,15
ZNF771,zinc finger protein 771,51333.0,16
PRR16,proline rich 16,51334.0,5
NGRN,"neugrin, neurite outgrowth associated",51335.0,15
C8orf55,thioesterase superfamily member 6,51337.0,8
MS4A4A,"membrane-spanning 4-domains, subfamily A, member 4A",51338.0,11
CRNKL1,crooked neck pre-mRNA splicing factor-like 1 (Drosophila),51340.0,20
ZBTB7A,zinc finger and BTB domain containing 7A,51341.0,19
TAOK3,TAO kinase 3,51347.0,12
KLRF1,"killer cell lectin-like receptor subfamily F, member 1",51348.0,12
KRT76,keratin 76,51350.0,12
ZNF117,zinc finger protein 117,51351.0,7
MBTPS2,"membrane-bound transcription factor peptidase, site 2",51360.0,X
HOOK1,hook homolog 1 (Drosophila),51361.0,1
CDC40,cell division cycle 40 homolog (S. cerevisiae),51362.0,6
PLA2G3,"phospholipase A2, group III",50487.0,22
CD207,"CD207 molecule, langerin",50489.0,2
DUOX2,dual oxidase 2,50506.0,15
NOX3,NADPH oxidase 3,50508.0,6
COL5A3,"collagen, type V, alpha 3",50509.0,19
SYCP3,synaptonemal complex protein 3,50511.0,12
PODXL2,podocalyxin-like 2,50512.0,3
DEC1,deleted in esophageal cancer 1,50514.0,9
CHST11,carbohydrate (chondroitin 4) sulfotransferase 11,50515.0,12
IL20,interleukin 20,50604.0,1
UBQLN3,ubiquilin 3,50613.0,11
IL22,interleukin 22,50616.0,12
ATP6V0A4,"ATPase, H+ transporting, lysosomal V0 subunit a4",50617.0,7
DEF6,differentially expressed in FDCP 6 homolog (mouse),50619.0,6
CUZD1,CUB and zona pellucida-like domains 1,50624.0,10
GEMIN4,gem (nuclear organelle) associated protein 4,50628.0,17
CALY,calcyon neuron-specific vesicular protein,50632.0,10
ANO7,anoctamin 7,50636.0,2
PNPLA8,patatin-like phospholipase domain containing 8,50640.0,7
ARHGEF4,Rho guanine nucleotide exchange factor (GEF) 4,50649.0,2
NEUROG3,neurogenin 3,50674.0,10
RDH8,retinol dehydrogenase 8 (all-trans),50700.0,19
WDR42A,DDB1 and CUL4 associated factor 8,50717.0,1
MYEF2,myelin expression factor 2,50804.0,15
IRX4,iroquois homeobox 4,50805.0,5
ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",50807.0,8
AK3,adenylate kinase 3,50808.0,9
HP1BP3,"heterochromatin protein 1, binding protein 3",50809.0,1
AC024270.1,"hepatoma-derived growth factor, related protein 3",50810.0,15
COPS7A,COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis),50813.0,12
TAS2R3,"taste receptor, type 2, member 3",50831.0,7
TAS2R4,"taste receptor, type 2, member 4",50832.0,7
TAS2R16,"taste receptor, type 2, member 16",50833.0,7
TAS2R1,"taste receptor, type 2, member 1",50834.0,5
TAS2R9,"taste receptor, type 2, member 9",50835.0,12
TAS2R8,"taste receptor, type 2, member 8",50836.0,12
TAS2R7,"taste receptor, type 2, member 7",50837.0,12
TAS2R13,"taste receptor, type 2, member 13",50838.0,12
TAS2R10,"taste receptor, type 2, member 10",50839.0,12
TAS2R14,"taste receptor, type 2, member 14",50840.0,12
DHH,desert hedgehog,50846.0,12
F11R,F11 receptor,50848.0,1
TRAT1,T cell receptor associated transmembrane adaptor 1,50852.0,3
VILL,villin-like,50853.0,3
TTTY1,"testis-specific transcript, Y-linked 1 (non-protein coding)",50858.0,Y
STMN3,stathmin-like 3,50861.0,20
RNF141,ring finger protein 141,50862.0,11
OPCML,neurotrimin,50863.0,11
HEBP1,heme binding protein 1,50865.0,12
CDON,Cdon homolog (mouse),50937.0,11
IMPG2,interphotoreceptor matrix proteoglycan 2,50939.0,3
SHANK1,SH3 and multiple ankyrin repeat domains 1,50944.0,19
TBX22,T-box 22,50945.0,X
SOST,sclerostin,50964.0,17
TMED5,transmembrane emp24 protein transport domain containing 5,50999.0,1
MTERFD1,MTERF domain containing 1,51001.0,8
TPRKB,TP53RK binding protein,51002.0,2
MED31,mediator complex subunit 31,51003.0,17
ASCC1,activating signal cointegrator 1 complex subunit 1,51008.0,10
DERL2,derlin 2,51009.0,17
EXOSC3,exosome component 3,51010.0,9
FAHD2A,fumarylacetoacetate hydrolase domain containing 2A,51011.0,2
SLMO2,slowmo homolog 2 (Drosophila),51012.0,20
EXOSC1,exosome component 1,51013.0,10
TMED7,transmembrane emp24 protein transport domain containing 7,51014.0,5
ISOC1,isochorismatase domain containing 1,51015.0,5
FAM158A,ER membrane protein complex subunit 9,51016.0,14
RRP15,ribosomal RNA processing 15 homolog (S. cerevisiae),51018.0,1
CCDC53,coiled-coil domain containing 53,51019.0,12
HDDC2,HD domain containing 2,51020.0,6
MRPS16,mitochondrial ribosomal protein S16,51021.0,10
GLRX2,glutaredoxin 2,51022.0,1
MRPS18C,mitochondrial ribosomal protein S18C,51023.0,4
FIS1,fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae),51024.0,7
AC009171.1,presequence translocase-associated motor 16 homolog (S. cerevisiae),51025.0,16
GOLT1B,golgi transport 1B,51026.0,12
BOLA1,bolA homolog 1 (E. coli),51027.0,1
VPS36,vacuolar protein sorting 36 homolog (S. cerevisiae),51028.0,13
PPPDE1,desumoylating isopeptidase 2,51029.0,1
GLOD4,glyoxalase domain containing 4,51031.0,17
CELA2B,"chymotrypsin-like elastase family, member 2B",51032.0,1
UBXN1,UBX domain protein 1,51035.0,11
ZNF593,zinc finger protein 593,51042.0,1
ZBTB7B,zinc finger and BTB domain containing 7B,51043.0,1
ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3",51046.0,18
PI15,peptidase inhibitor 15,51050.0,8
PRLH,prolactin releasing hormone,51052.0,2
GMNN,"geminin, DNA replication inhibitor",51053.0,6
PLEKHA9,"pleckstrin homology domain containing, family A member 8 pseudogene 1",51054.0,12
LAP3,leucine aminopeptidase 3,51056.0,4
ZNF691,zinc finger protein 691,51058.0,1
FAM135B,"family with sequence similarity 135, member B",51059.0,8
TXNDC12,thioredoxin domain containing 12 (endoplasmic reticulum),51060.0,1
TXNDC11,thioredoxin domain containing 11,51061.0,16
CHST15,carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15,51363.0,10
ZMYND10,"zinc finger, MYND-type containing 10",51364.0,3
PLA1A,phospholipase A1 member A,51365.0,3
